fecha,hospitalizados,defunciones,recuperados
05/01,70,20,306
05/02,66,22,323
05/03,60,24,334
05/04,70,25,342
05/05,70,26,370
05/06,83,29,517
05/07,141,32,550
05/08,142,33,582
05/09,134,33,594
05/10,143,37,607
05/11,143,37,620
05/12,143,39,620
05/13,166,43,659
05/14,170,46,69
05/15,184,48,709
05/16,184,51,746
05/17,180,54,771
05/18,183,62,795
05/19,197,63,802
05/20,191,68,836
05/21,187,73,873
05/22,205,75,911
05/23,204,78,948
05/24,211,79,999
05/25,212,82,1043
05/26,221,88,1074
05/27,226,92,1160
05/28,248,101,1249
05/29,241,107,1356
05/30,232,112,1451
05/31,232,113,1528
06/01,245,116,1603
06/02,254,121,1633
06/03,248,125,1738
06/04,269,129,1831
06/05,262,139,2020
06/06,276,146,2159
06/07,284,149,2291
06/08,265,152,2377
06/09,282,157,2497
06/10,258,164,2689
06/11,272,169,2903
06/12,274,173,3206
06/13,292,179,3440
06/14,299,189,3582
06/15,313,196,3656
06/16,339,210,3758
06/17,338,219,3922
06/18,356,230,3999
06/19,388,242,4156
06/20,389,252,4290
06/21,396,259,4408
06/22,408,266,4536
06/23,435,278,4589
06/24,474,288,4982
06/25,497,302,5060
06/26,540,316,5318
06/27,626,330,5439
06/28,662,348,6132
06/29,751,362,6608
06/30,827,379,6833
07/01,913,392,7286
07/02,961,414,7920
07/03,1015,438,8336
07/04,1047,456,8670
07/05,1119,472,8991
07/06,1109,491,9179
07/07,1119,518,9307
07/08,1085,533,9772
07/09,1140,555,10234
07/10,1207,582,10717
07/11,1230,599,11219
07/12,1243,613,11725
07/13,1253,635,12090
07/14,1323,654,12211
07/15,1325,675,12796
07/16,1337,709,13437
07/17,1335,732,14068
07/18,1354,753,14638
07/19,1351,773,15222
07/20,1369,793,15765
07/21,1347,834,15928
07/22,1328,8550,16670
