fecha,negativosLabPrivado,negativosHospPrivado,negativosINDRE,sospechosos
04/11,206,1988,1675,302
04/12,555,2081,2606,410
04/13,413,2081,2006,517
04/14,476,2081,2163,541
04/15,555,2081,2309,329
04/16,555,2081,2606,410
04/17,702,2081,2705,490
04/18,702,2081,2820,615
04/19,702,2081,2967,720
04/20,702,2281,3214,810
04/21,869,2281,3498,751
04/22,1221,2281,3923,465
04/23,1439,2281,4132,320
04/24,1641,2281,4414,69
04/25,1678,2281,4497,72
04/26,1949,2281,4595,43
04/27,2241,2281,4706,52
04/28,2251,2281,4726,46
04/29,2556,2281,4911,100
04/30,2556,2281,5060,243
05/01,3110,2281,5257,176
05/02,3110,2281,5489,118
05/03,3642,2281,5613,108
05/04,4104,2281,5696,131
05/05,4128,2281,5798,149
05/06,4270,2281,5960,92
05/07,4270,2281,6162,113
05/08,4581,2281,6404,46
05/09,4710,2281,6602,47
05/10,4775,2281,6691,33
05/11,4814,2281,6952,39
05/12,5638,2281,7073,234
05/13,5638,2281,7324,239
05/14,5676,2281,7495,353
05/15,5732,2281,7679,396
05/16,6103,2281,7834,549
05/17,6271,2281,8396,131
05/18,6618,2281,8640,162
05/19,6826,2281,8785,137
05/20,6952,2281,8894,177
05/21,7512,2281,9108,149
05/22,7969,2281,9491,175
05/23,8246,2281,9663,306
05/24,8520,2281,10028,266
05/25,8574,2281,10445,88
05/26,9832,2281,10762,58
05/27,10133,2281,10963,147
05/28,10318,2781,11202,139
05/29,11072,2781,11449,362
05/30,12582,2781,11783,636
05/31,12864,3281,12227,631
06/01,13005,3782,12464,570
06/02,13239,3782,12864,667
06/03,13244,3782,13138,409
06/04,13540,3782,13640,165
06/05,14486,3782,14011,24
06/06,17253,3782,14330,141
06/07,17727,3782,14808,42
06/08,19637,3782,15265,124
06/09,19977,3782,15566,645
06/10,20077,3782,16030,401
06/11,20160,3782,16334,454
06/12,21241,3782,16688,546
06/13,21597,3782,17074,850
06/14,22230,3782,17395,1105
06/15,22943,3782,17799,974
06/16,23632,3782,18064,877
06/17,24432,3782,18319,1008
06/18,24800,3782,18643,1508
06/19,25454,3782,18835,1691
06/20,26741,3782,18929,1849
06/21,27033,3782,19482,1403
06/22,27214,3782,19783,1484
06/23,27370,3782,20044,1113
06/24,28170,3782,20480,1184
06/25,28756,3782,20751,1289
06/26,29457,3782,21088,1343
06/27,30158,3782,21380,1268
06/28,31964,3782,21979,1148
06/29,33206,3782,22207,1257
06/30,33945,3782,22496,937
07/01,34597,3782,22934,891
07/02,35696,3782,23266,938
07/03,36927,3782,23452,1090
07/04,38372,3782,23761,1176
07/05,39903,3782,24049,764
07/06,40477,3782,24367,705
07/07,41102,3782,24760,180
07/08,41691,3782,25132,396
07/09,42593,3782,25418,935
07/10,42917,4032,25800,946
07/11,43345,4032,26305,927
07/12,43856,4032,26579,1229
07/13,44556,4092,26844,965
07/14,45221,4107,27099,807
07/15,45803,4132,27368,816
07/16,46247,4231,27724,672
07/17,46578,4271,28043,931
07/18,47086,4292,28392,920
07/19,47688,4292,28725,835
07/20,48131,4292,28863,841
07/21,48131,4387,29160,835
07/22,48853,4422,29450,523
